FECHA       DNI      CANT              CODIGO
=================================================================================================== 
20230821  90365520  1         OPJ-039   
20230821  77191257  5         BWD-036   
20230821  69639726  3         OPT-996   
20230821  11602775  4         CIM-038   
20230821  32565207  6         ZWF-661   
20230821  49087435  2         VDD-853   
20230821  49087435  1         PJG-338   
20230821  45877001  4         VVS-017   
20230821  79140840  5         TMN-884   
20230821  98140264  4         QHC-492   
20230821  91897732  1         WLL-607   
20230821  90365520  6         KWP-672   
20230821  71984468  5         JJN-837   
20230821  49087435  1         SJQ-827   
20230821  15210391  1         HFM-021   
20230821  17913944  4         IHG-413   
20230821  17972674  1         UTN-601   
20230821  90237332  5         PVZ-181   
20230821  49087435  6         XZR-640   
20230821  37110873  2         UWA-476   
20230821  25171011  1         VCL-867   
20230821  85949265  6         TMJ-043   
20230821  85949265  2         YUQ-590   
20230821  26233063  2         ZAF-449   
20230821  43043986  3         TXM-139   
20230821  29337157  3         ZEX-027   
20230821  38913831  3         JFC-432   
20230821  83505958  3         EJW-346   
20230821  11602775  6         TMJ-043   
20230821  45783712  3         QFR-958   
20230821  17913944  5         YJD-279   
20230821  81114108  4         VRR-793   
20230821  81114108  5         DUG-251   
20230821  55552996  1         FQG-293   
20230821  50365593  1         TZY-323   
20230821  57690875  5         CSZ-863   
20230821  32904023  3         SAM-013   
20230821  40348917  3         WZD-331   
20230821  40112594  3         EBI-299   
20230821  40348917  2         FLJ-040   
20230821  44229880  5         HLR-109   
20230821  62566305  4         TYF-885   
20230821  58187172  2         VXS-438   
20230821  71463316  6         QFP-254   
20230821  15561764  4         RAH-420   
20230821  89429489  1         VXS-438   
20230821  95161027  5         TZY-323   
20230822  77484838  6         YUQ-590   
20230822  32821689  1         ISU-815   
20230822  27912250  4         LWG-915   
20230822  26290971  5         TZY-323   
20230822  73535476  3         CIM-038   
20230822  15210391  5         RSE-049   
20230822  35584593  1         KCO-488   
20230822  25171011  6         OPT-996   
20230822  78078115  3         TMJ-043   
20230822  78757121  4         ZXK-295   
20230822  38913831  1         YZD-580   
20230822  94080926  5         OTW-288   
20230822  87800799  1         QRC-609   
20230822  77191257  6         AVM-258   
20230822  66409237  5         ICX-503   
20230822  52097922  2         MMA-577   
20230822  78078115  2         DFF-034   
20230822  76388967  6         RSE-049   
20230822  64394265  6         YYK-309   
20230822  84165595  4         QHC-492   
20230822  77484838  4         BTO-226   
20230822  78757121  3         OQI-373   
20230822  71984468  2         PQH-935   
20230822  93845419  2         NSR-955   
20230822  43488351  5         XLF-273   
20230822  80048864  3         BWD-036   
20230822  36008913  6         HFC-845   
20230822  78078115  5         XZR-640   
20230822  89298238  3         QTK-083   
20230822  37110873  2         GXF-122   
20230822  86241107  3         HFC-845   
20230822  27912250  1         LWG-915   
20230822  15561764  6         JYQ-045   
20230822  20864087  1         SPR-580   
20230822  16151792  3         WZD-331   
20230822  95161027  2         VJI-529   
20230823  43488351  6         QTK-083   
20230823  81114108  3         OFS-384   
20230823  87813843  6         LDR-510   
20230823  93160528  5         BRD-969   
20230823  50365593  6         ZVA-180   
20230823  12663268  5         QFP-254   
20230823  81114108  4         BCN-855   
20230823  29337157  6         QHC-492   
20230823  78078115  2         PJG-338   
20230823  93160528  3         QTK-083   
20230823  79372768  1         SAM-013   
20230823  31193794  1         JDC-028   
20230823  55552996  1         AQS-362   
20230823  76388967  6         CNQ-172   
20230823  89298238  2         PFD-286   
20230823  22280452  5         VRR-793   
20230823  79464412  6         MTF-868   
20230823  23928045  2         LWG-915   
20230823  89148118  6         TKM-141   
20230823  89298238  1         YOT-530   
20230823  77642521  2         YYU-726   
20230823  89429489  1         QUU-384   
20230823  83236386  1         OFS-384   
20230823  73185299  5         QFP-254   
20230823  69324480  3         VXS-438   
20230823  78922174  2         XBD-314   
20230823  64394265  5         OTW-288   
20230823  90237332  4         PFD-286   
20230824  50375303  6         JXD-139   
20230824  45783712  1         VZV-827   
20230824  79464412  4         JXD-139   
20230824  26290971  3         TYF-885   
20230824  35565959  5         VJI-529   
20230824  50365593  3         VVS-017   
20230824  25171011  3         QRC-609   
20230824  26976877  5         AFL-718   
20230824  79901434  2         OXP-732   
20230824  43877279  4         SSD-176   
20230824  88956889  1         TMN-884   
20230824  87800799  5         JDC-028   
20230824  97403853  5         BCK-361   
20230824  73914283  4         OBI-353   
20230824  59162728  4         FEG-454   
20230824  45877001  5         RDT-761   
20230824  15210391  3         OTW-288   
20230824  54761731  5         FVB-607   
20230824  95015539  2         CSZ-863   
20230824  33713901  6         ZVA-180   
20230824  89148118  5         JFC-432   
20230824  46462527  6         ISU-815   
20230824  45828535  2         AVM-258   
20230824  42928709  6         GLC-370   
20230824  78078115  1         SSD-176   
20230824  13245501  1         AWB-345   
20230824  11602775  2         JJN-837   
20230824  86402303  3         OQI-373   
20230824  12663268  3         AHB-459   
20230824  24995742  4         KCO-488   
20230824  36380447  5         OWN-701   
20230824  85949265  6         LDR-510   
20230825  96258632  5         EBI-299   
20230825  87800799  2         EUZ-452   
20230825  71378466  1         OQI-373   
20230825  87800799  2         KWP-672   
20230825  88995291  2         HLR-109   
20230825  52097922  5         GBD-525   
20230825  35565959  4         CIM-038   
20230825  67418025  1         QUU-384   
20230825  95751208  3         BWD-036   
20230825  26976877  2         JXD-139   
20230825  77642521  5         QUU-384   
20230825  79140840  2         TYF-885   
20230825  57263719  5         YOT-530   
20230825  62324793  5         YJD-279   
20230825  93845419  5         AWB-345   
20230825  87800799  2         ICX-503   
20230825  19829266  2         UXG-019   
20230825  57263719  6         TZY-323   
20230825  93160528  2         DUG-251   
20230825  79901434  3         AHB-459   
20230825  50375303  2         SJQ-827   
20230825  32821689  5         MMA-577   
20230825  42798099  6         RDT-761   
20230825  11602775  4         XLF-273   
20230825  49087435  1         AFL-718   
20230825  73786035  1         AQS-362   
20230825  45783712  5         SNY-500   
20230825  16151792  1         CNQ-172   
20230825  62566305  4         DIQ-718   
20230825  13245501  1         ZWF-661   
20230825  40348917  4         SNY-500   
20230825  73535476  2         LDR-510   
20230825  83236386  2         MTF-868   
20230825  58187172  6         KBY-991   
20230825  77484838  3         YGV-332   
20230826  26976877  3         XZG-521   
20230826  54761731  3         DEV-433   
20230826  27912250  1         ICX-503   
20230826  42157219  6         KWP-672   
20230826  24995742  1         BWD-036   
20230826  54761731  1         VZV-827   
20230826  38637282  6         FLJ-040   
20230826  29337157  4         WZD-331   
20230826  78922174  5         AFL-718   
20230826  90365520  6         EUZ-452   
20230826  11602775  1         JJN-837   
20230826  73535476  4         KJX-387   
20230826  86828079  3         MQR-442   
20230826  13245501  6         HFC-845   
20230826  57690875  4         XLF-273   
20230826  77191257  3         TZY-323   
20230826  79475585  5         BWD-036   
20230826  49087435  3         BCK-361   
20230826  54761731  4         ZVA-180   
20230826  27912250  3         FLJ-040   
20230826  78757121  1         GXF-122   
20230826  42157219  6         III-576   
20230826  71378466  4         BIT-434   
20230826  32904023  1         KQQ-136   
20230826  83505958  1         MQR-442   
20230826  99842319  1         ZAF-449   
20230826  59407188  5         RDT-761   
20230826  57263719  5         ZWF-661   
20230826  95161027  5         VVS-017   
20230826  45828535  6         QJO-060   
20230826  78757121  4         ARS-231   
20230826  81114108  1         VCL-867   
20230826  77484838  1         AFL-718   
20230826  31611146  1         XSD-310   
20230826  17972674  4         UWA-476   
20230826  40348917  3         VRR-793   
20230826  94080926  2         CIM-038   
20230826  83236386  2         OPT-996   
20230826  86402303  3         OQI-373   
20230826  79901434  2         TXM-139   
20230827  91897732  2         OXP-732   
20230827  45877001  5         GBJ-693   
20230827  78078115  2         XOA-735   
20230827  86828079  1         YGV-332   
20230827  73185299  3         QUU-384   
20230827  96659352  6         KQA-580   
20230827  43053402  2         YOT-530   
20230827  55552996  6         SSD-176   
20230827  26976877  3         KQQ-136   
20230827  40112594  6         KSO-608   
20230827  79140840  1         HLR-109   
20230827  41036366  2         AQS-362   
20230827  66409237  4         CRU-009   
20230827  90237332  1         OQI-373   
20230827  78922174  3         OQI-373   
20230827  79140840  3         DFF-034   
20230827  43877279  4         SNY-500   
20230827  11602775  3         YYK-309   
20230827  54716824  6         CRU-009   
20230827  38637282  1         OFS-384   
20230827  87813843  4         MLE-193   
20230827  15561764  2         FYF-898   
20230827  73914283  1         OBI-353   
20230827  12663268  6         XSD-310   
20230827  17913944  4         XLF-273   
20230827  26233063  4         JFC-432   
20230827  38913831  3         FLW-631   
20230827  32565207  4         UXG-019   
20230827  57263719  2         OTH-462   
20230827  89863424  4         SSE-115   
20230827  67418025  5         EVN-510   
20230827  26976877  4         YUQ-590   
20230827  57690875  6         XTE-383   
20230827  84165595  3         JFC-432   
20230827  63437380  2         PJG-338   
20230827  22777006  2         XLF-273   
20230827  52097922  5         ISU-815   
20230827  13245501  5         JCW-489   
20230827  22777006  3         YYK-309   
20230827  95751208  4         BRD-969   
20230827  63437380  5         YEZ-591   
20230827  37110873  5         YZD-580   
20230827  25171011  1         CIM-038   
20230827  60574154  6         III-576   
20230827  78757121  4         KJX-387   
20230828  45828535  6         TZY-323   
20230828  57263719  3         BWD-036   
20230828  23928045  3         OXP-732   
20230828  73786035  4         DEN-125   
20230828  79464412  5         CJE-310   
20230828  35584593  4         AVM-258   
20230828  94080926  5         NMV-644   
20230828  85871751  2         MYC-756   
20230828  57690875  3         CIM-038   
20230828  43043986  5         QFP-254   
20230828  44679500  1         AWB-345   
20230828  32565207  5         FVQ-662   
20230828  69975105  6         HFM-021   
20230828  89298238  2         QFP-254   
20230828  43053402  6         FVQ-662   
20230828  71463316  4         BCN-855   
20230828  89148118  5         XLF-273   
20230828  95161027  1         OQI-373   
20230828  78922174  5         TKM-141   
20230828  43877279  5         QUU-384   
20230828  40112594  2         BCK-361   
20230828  66409237  4         UXG-019   
20230828  79372768  6         QVJ-982   
20230828  24995742  3         YMU-875   
20230828  80048864  3         BCK-361   
20230828  71463316  3         UWA-476   
20230828  59407188  6         BIT-434   
20230828  71378466  6         ARS-231   
20230828  77484838  1         UWA-476   
20230828  17972674  1         ZWF-661   
20230828  89863424  6         OTH-462   
20230828  26976877  4         SSE-115   
20230828  42157219  2         KCO-488   
20230828  42157219  5         OTS-581   
20230828  35565959  2         DFJ-952   
20230828  42928709  5         NSM-283   
20230828  32904023  3         KJX-387   
20230828  26233063  3         KSO-608   
20230828  79475585  6         KQQ-136   
20230828  80048864  1         PPX-620   
20230828  76388967  5         SJQ-827   
20230828  86241107  2         CIM-038   
20230828  60574154  5         KDA-627   
20230828  62324793  2         OPJ-039   
20230829  16552775  5         CNN-411   
20230829  69639726  1         DON-719   
20230829  16151792  1         AQS-362   
20230829  44229880  3         SNY-500   
20230829  53166028  3         ONB-903   
20230829  71463316  5         KCO-488   
20230829  87800799  2         WZD-331   
20230829  31193794  5         BXY-119   
20230829  98140264  2         DFF-034   
20230829  43053402  2         VRR-793   
20230829  20864087  5         YUQ-590   
20230829  87800799  3         BTO-226   
20230829  45828535  5         YMU-875   
20230829  53166028  1         QHC-492   
20230829  55552996  1         SJD-818   
20230829  95161027  4         FQG-293   
20230829  25171011  3         VCL-867   
20230829  71463316  6         EBI-299   
20230829  45877001  2         PJG-338   
20230829  77642521  5         DFJ-952   
20230829  88956889  6         HFM-021   
20230829  86241107  2         FEG-454   
20230829  81114108  2         RBE-789   
20230829  52097922  2         OWN-701   
20230829  77484838  3         UDR-957   
20230829  62324793  1         FQG-293   
20230829  71378466  3         XSD-310   
20230829  29847168  1         BCK-361   
20230829  46462527  3         KWP-672   
20230829  79464412  2         NSM-283   
20230829  76388967  5         EBI-299   
20230830  83505958  5         TYF-885   
20230830  42928709  4         QIL-029   
20230830  15210391  2         DON-719   
20230830  69975105  6         WZD-331   
20230830  89429489  6         VCL-867   
20230830  32821689  3         ONB-903   
20230830  62566305  5         GXF-122   
