                              REPORTE DE PEDIDOS
========================================================================================================================================================================================================
     CODIGO       FECHA DEL PEDIDO          DNI       CANTIDAD
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     JXD-139          21/08/2023          81114108        4
     CRU-009          21/08/2023          32565207        6
     YYK-309          21/08/2023          45783712        3
     OTS-581          21/08/2023          49087435        1
     AWB-345          21/08/2023          32904023        3
     IHG-413          21/08/2023          25171011        1
     KQQ-136          21/08/2023          50365593        1
     OQI-373          21/08/2023          81114108        5
     PVZ-181          21/08/2023          85949265        2
     ICX-503          21/08/2023          49087435        6
     DFF-034          21/08/2023          89429489        1
     VCL-867          21/08/2023          17972674        1
     TZY-323          21/08/2023          17913944        4
     PJG-338          21/08/2023          15210391        1
     SSD-176          21/08/2023          40112594        3
     BWD-036          21/08/2023          43043986        3
     FLJ-040          21/08/2023          90237332        5
     JDC-028          21/08/2023          40348917        3
     OTH-462          21/08/2023          98140264        4
     QIL-029          21/08/2023          77191257        5
     UWA-476          21/08/2023          40348917        2
     XOA-735          21/08/2023          17913944        5
     OBI-353          21/08/2023          83505958        3
     AWB-345          21/08/2023          37110873        2
     CSZ-863          21/08/2023          57690875        5
     UWA-476          21/08/2023          71984468        5
     MLE-193          21/08/2023          38913831        3
     UOD-420          21/08/2023          95161027        5
     KWP-672          21/08/2023          55552996        1
     BXY-119          21/08/2023          85949265        6
     KCO-488          21/08/2023          15561764        4
     PQH-935          21/08/2023          71463316        6
     GBJ-693          21/08/2023          91897732        1
     XLF-273          21/08/2023          26233063        2
     RSE-049          21/08/2023          45877001        4
     CJE-310          21/08/2023          62566305        4
     SJQ-827          21/08/2023          44229880        5
     TKM-141          21/08/2023          90365520        1
     EBI-299          21/08/2023          90365520        6
     DFF-034          21/08/2023          69639726        3
     SSD-176          21/08/2023          49087435        2
     ZEX-027          21/08/2023          58187172        2
     OBI-353          21/08/2023          29337157        3
     SJD-818          21/08/2023          11602775        6
     GLC-370          21/08/2023          11602775        4
     YUQ-590          21/08/2023          79140840        5
     QHC-492          21/08/2023          49087435        1
     CIM-038          22/08/2023          27912250        1
     CRU-009          22/08/2023          78757121        4
     AHB-459          22/08/2023          35584593        1
     MQR-442          22/08/2023          76388967        6
     CNN-411          22/08/2023          77191257        6
     AFL-718          22/08/2023          52097922        2
     CIM-038          22/08/2023          78757121        3
     XZR-640          22/08/2023          78078115        5
     LDR-510          22/08/2023          15561764        6
     QUU-384          22/08/2023          38913831        1
     OWN-701          22/08/2023          37110873        2
     BTO-226          22/08/2023          77484838        4
     BRD-969          22/08/2023          80048864        3
     ZEX-027          22/08/2023          84165595        4
     DFJ-952          22/08/2023          94080926        5
     RDT-761          22/08/2023          16151792        3
     TMN-884          22/08/2023          73535476        3
     FEG-454          22/08/2023          27912250        4
     JDC-028          22/08/2023          87800799        1
     JCW-489          22/08/2023          93845419        2
     KWP-672          22/08/2023          36008913        6
     VDD-853          22/08/2023          20864087        1
     ZEX-027          22/08/2023          95161027        2
     ZVA-180          22/08/2023          89298238        3
     KQA-580          22/08/2023          78078115        3
     QUU-384          22/08/2023          26290971        5
     TKM-141          22/08/2023          77484838        6
     NMV-644          22/08/2023          32821689        1
     CIM-038          22/08/2023          86241107        3
     TYF-885          22/08/2023          66409237        5
     OQI-373          22/08/2023          78078115        2
     AHB-459          22/08/2023          71984468        2
     IDO-503          22/08/2023          64394265        6
     BCK-361          22/08/2023          43488351        5
     TYF-885          22/08/2023          15210391        5
     OPT-996          22/08/2023          25171011        6
     VVS-017          23/08/2023          93160528        5
     QUU-384          23/08/2023          69324480        3
     YOT-530          23/08/2023          81114108        3
     ISU-815          23/08/2023          22280452        5
     III-576          23/08/2023          79464412        6
     LWG-915          23/08/2023          77642521        2
     BWD-036          23/08/2023          55552996        1
     AFL-718          23/08/2023          89148118        6
     AWB-345          23/08/2023          29337157        6
     YYU-726          23/08/2023          23928045        2
     JJN-837          23/08/2023          64394265        5
     ZWF-661          23/08/2023          89429489        1
     EJW-346          23/08/2023          89298238        2
     BWD-036          23/08/2023          93160528        3
     UWA-476          23/08/2023          79372768        1
     XLF-273          23/08/2023          81114108        4
     UXG-019          23/08/2023          83236386        1
     NSM-283          23/08/2023          43488351        6
     VJI-529          23/08/2023          90237332        4
     TYF-885          23/08/2023          78078115        2
     YZD-580          23/08/2023          89298238        1
     XLF-273          23/08/2023          12663268        5
     TZY-323          23/08/2023          87813843        6
     LWG-915          23/08/2023          78922174        2
     TMN-884          23/08/2023          76388967        6
     QHC-492          23/08/2023          50365593        6
     UJV-290          23/08/2023          31193794        1
     OWN-701          23/08/2023          73185299        5
     WZD-331          24/08/2023          35565959        5
     BIT-434          24/08/2023          88956889        1
     AWT-354          24/08/2023          59162728        4
     III-576          24/08/2023          54761731        5
     KCO-488          24/08/2023          26976877        5
     KCO-488          24/08/2023          24995742        4
     JFC-432          24/08/2023          26290971        3
     YOT-530          24/08/2023          78078115        1
     JFC-432          24/08/2023          50375303        6
     DFJ-952          24/08/2023          79464412        4
     QHC-492          24/08/2023          36380447        5
     PFD-286          24/08/2023          15210391        3
     MQR-442          24/08/2023          25171011        3
     JYQ-045          24/08/2023          87800799        5
     AFL-718          24/08/2023          33713901        6
     AFL-718          24/08/2023          79901434        2
     BCK-361          24/08/2023          97403853        5
     XSD-310          24/08/2023          45877001        5
     TXM-139          24/08/2023          85949265        6
     KQA-580          24/08/2023          89148118        5
     RAH-420          24/08/2023          11602775        2
     PFD-286          24/08/2023          42928709        6
     NSM-283          24/08/2023          95015539        2
     PJG-338          24/08/2023          45828535        2
     OQI-373          24/08/2023          43877279        4
     ONB-903          24/08/2023          12663268        3
     FVQ-662          24/08/2023          86402303        3
     YYK-309          24/08/2023          73914283        4
     UDR-957          24/08/2023          13245501        1
     FYF-898          24/08/2023          45783712        1
     CIM-038          24/08/2023          46462527        6
     SPR-580          24/08/2023          50365593        3
     VVS-017          25/08/2023          93160528        2
     KWP-672          25/08/2023          79901434        3
     QHC-492          25/08/2023          67418025        1
     QFR-958          25/08/2023          73535476        2
     SJQ-827          25/08/2023          26976877        2
     DEV-433          25/08/2023          77642521        5
     MMA-577          25/08/2023          32821689        5
     ZXK-295          25/08/2023          77484838        3
     VXS-438          25/08/2023          95751208        3
     LWG-915          25/08/2023          96258632        5
     YUQ-590          25/08/2023          93845419        5
     AQS-362          25/08/2023          88995291        2
     RSE-049          25/08/2023          71378466        1
     III-576          25/08/2023          62324793        5
     UXG-019          25/08/2023          35565959        4
     VRR-793          25/08/2023          57263719        6
     EJW-346          25/08/2023          13245501        1
     BCK-361          25/08/2023          16151792        1
